Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,COVID-19 Deaths,Total Deaths
04/28/2021,01/01/2020,01/31/2020,By Month,2020.0,1.0,United States,All Sexes,4.0,264634.0
04/28/2021,02/01/2020,02/29/2020,By Month,2020.0,2.0,United States,All Sexes,16.0,244867.0
04/28/2021,03/01/2020,03/31/2020,By Month,2020.0,3.0,United States,All Sexes,7100.0,269739.0
04/28/2021,04/01/2020,04/30/2020,By Month,2020.0,4.0,United States,All Sexes,65288.0,322377.0
04/28/2021,05/01/2020,05/31/2020,By Month,2020.0,5.0,United States,All Sexes,38211.0,280476.0
04/28/2021,06/01/2020,06/30/2020,By Month,2020.0,6.0,United States,All Sexes,17940.0,250314.0
04/28/2021,07/01/2020,07/31/2020,By Month,2020.0,7.0,United States,All Sexes,31023.0,278867.0
04/28/2021,08/01/2020,08/31/2020,By Month,2020.0,8.0,United States,All Sexes,29761.0,277140.0
04/28/2021,09/01/2020,09/30/2020,By Month,2020.0,9.0,United States,All Sexes,19052.0,256982.0
04/28/2021,10/01/2020,10/31/2020,By Month,2020.0,10.0,United States,All Sexes,24629.0,272242.0
04/28/2021,11/01/2020,11/30/2020,By Month,2020.0,11.0,United States,All Sexes,52714.0,300263.0
04/28/2021,12/01/2020,12/31/2020,By Month,2020.0,12.0,United States,All Sexes,97180.0,360490.0
04/28/2021,01/01/2021,01/31/2021,By Month,2021.0,1.0,United States,All Sexes,99855.0,356804.0
04/28/2021,02/01/2021,02/28/2021,By Month,2021.0,2.0,United States,All Sexes,45613.0,267313.0
04/28/2021,03/01/2021,03/31/2021,By Month,2021.0,3.0,United States,All Sexes,20966.0,244220.0
04/28/2021,04/01/2021,04/24/2021,By Month,2021.0,4.0,United States,All Sexes,8134.0,108849.0
04/28/2021,03/01/2020,03/31/2020,By Month,2020.0,3.0,Alabama,All Sexes,48.0,4756.0
04/28/2021,04/01/2020,04/30/2020,By Month,2020.0,4.0,Alabama,All Sexes,338.0,4876.0
04/28/2021,05/01/2020,05/31/2020,By Month,2020.0,5.0,Alabama,All Sexes,426.0,5108.0
04/28/2021,06/01/2020,06/30/2020,By Month,2020.0,6.0,Alabama,All Sexes,399.0,4900.0
04/28/2021,07/01/2020,07/31/2020,By Month,2020.0,7.0,Alabama,All Sexes,873.0,5717.0
04/28/2021,08/01/2020,08/31/2020,By Month,2020.0,8.0,Alabama,All Sexes,960.0,5764.0
04/28/2021,09/01/2020,09/30/2020,By Month,2020.0,9.0,Alabama,All Sexes,565.0,5110.0
04/28/2021,10/01/2020,10/31/2020,By Month,2020.0,10.0,Alabama,All Sexes,557.0,5199.0
04/28/2021,11/01/2020,11/30/2020,By Month,2020.0,11.0,Alabama,All Sexes,761.0,5547.0
04/28/2021,12/01/2020,12/31/2020,By Month,2020.0,12.0,Alabama,All Sexes,1733.0,7023.0
04/28/2021,01/01/2021,01/31/2021,By Month,2021.0,1.0,Alabama,All Sexes,2362.0,7719.0
04/28/2021,02/01/2021,02/28/2021,By Month,2021.0,2.0,Alabama,All Sexes,943.0,5414.0
04/28/2021,03/01/2021,03/31/2021,By Month,2021.0,3.0,Alabama,All Sexes,356.0,4672.0
04/28/2021,04/01/2021,04/24/2021,By Month,2021.0,4.0,Alabama,All Sexes,93.0,1947.0
04/28/2021,07/01/2020,07/31/2020,By Month,2020.0,7.0,Alaska,All Sexes,12.0,431.0
04/28/2021,08/01/2020,08/31/2020,By Month,2020.0,8.0,Alaska,All Sexes,19.0,429.0
04/28/2021,09/01/2020,09/30/2020,By Month,2020.0,9.0,Alaska,All Sexes,12.0,422.0
04/28/2021,10/01/2020,10/31/2020,By Month,2020.0,10.0,Alaska,All Sexes,32.0,464.0
04/28/2021,11/01/2020,11/30/2020,By Month,2020.0,11.0,Alaska,All Sexes,69.0,498.0
04/28/2021,12/01/2020,12/31/2020,By Month,2020.0,12.0,Alaska,All Sexes,95.0,500.0
04/28/2021,01/01/2021,01/31/2021,By Month,2021.0,1.0,Alaska,All Sexes,36.0,461.0
04/28/2021,02/01/2021,02/28/2021,By Month,2021.0,2.0,Alaska,All Sexes,17.0,338.0
04/28/2021,03/01/2021,03/31/2021,By Month,2021.0,3.0,Alaska,All Sexes,15.0,298.0
04/28/2021,03/01/2020,03/31/2020,By Month,2020.0,3.0,Arizona,All Sexes,63.0,5927.0
04/28/2021,04/01/2020,04/30/2020,By Month,2020.0,4.0,Arizona,All Sexes,405.0,5879.0
04/28/2021,05/01/2020,05/31/2020,By Month,2020.0,5.0,Arizona,All Sexes,504.0,5929.0
04/28/2021,06/01/2020,06/30/2020,By Month,2020.0,6.0,Arizona,All Sexes,900.0,6544.0
04/28/2021,07/01/2020,07/31/2020,By Month,2020.0,7.0,Arizona,All Sexes,2100.0,8382.0
04/28/2021,08/01/2020,08/31/2020,By Month,2020.0,8.0,Arizona,All Sexes,942.0,6711.0
04/28/2021,09/01/2020,09/30/2020,By Month,2020.0,9.0,Arizona,All Sexes,272.0,5423.0
04/28/2021,10/01/2020,10/31/2020,By Month,2020.0,10.0,Arizona,All Sexes,259.0,5609.0
04/28/2021,11/01/2020,11/30/2020,By Month,2020.0,11.0,Arizona,All Sexes,856.0,6136.0
04/28/2021,12/01/2020,12/31/2020,By Month,2020.0,12.0,Arizona,All Sexes,3004.0,9215.0
04/28/2021,01/01/2021,01/31/2021,By Month,2021.0,1.0,Arizona,All Sexes,3988.0,10242.0
04/28/2021,02/01/2021,02/28/2021,By Month,2021.0,2.0,Arizona,All Sexes,1615.0,6555.0
04/28/2021,03/01/2021,03/31/2021,By Month,2021.0,3.0,Arizona,All Sexes,496.0,6045.0
04/28/2021,04/01/2021,04/24/2021,By Month,2021.0,4.0,Arizona,All Sexes,125.0,2821.0
04/28/2021,03/01/2020,03/31/2020,By Month,2020.0,3.0,Arkansas,All Sexes,10.0,2846.0
04/28/2021,04/01/2020,04/30/2020,By Month,2020.0,4.0,Arkansas,All Sexes,61.0,2685.0
04/28/2021,05/01/2020,05/31/2020,By Month,2020.0,5.0,Arkansas,All Sexes,78.0,2763.0
04/28/2021,06/01/2020,06/30/2020,By Month,2020.0,6.0,Arkansas,All Sexes,169.0,2906.0
04/28/2021,07/01/2020,07/31/2020,By Month,2020.0,7.0,Arkansas,All Sexes,274.0,3078.0
04/28/2021,08/01/2020,08/31/2020,By Month,2020.0,8.0,Arkansas,All Sexes,409.0,3296.0
04/28/2021,09/01/2020,09/30/2020,By Month,2020.0,9.0,Arkansas,All Sexes,420.0,3197.0
04/28/2021,10/01/2020,10/31/2020,By Month,2020.0,10.0,Arkansas,All Sexes,626.0,3460.0
04/28/2021,11/01/2020,11/30/2020,By Month,2020.0,11.0,Arkansas,All Sexes,844.0,3711.0
